        cfo  sto   snr  txp     ber  invalid
 856.424732    4 12.68  -21 0.00000        0
 822.532112    5 12.43  -21 0.00000        0
1923.279766    5 12.71  -21 0.00000        0
1616.629886    7 13.02  -21 0.00000        0
1099.198114    4 12.81  -21 0.00000        0
1070.911526    2 12.97  -21 0.00000        0
1365.071765    6 12.92  -21 0.00000        0
1435.349313    1 12.78  -21 0.00000        0
1331.388379    5 12.36  -21 0.00000        0
1325.243818    6 12.76  -20 0.00000        0
1651.566777    5 12.79  -20 0.00250        1
1330.944535    5 13.34  -20 0.00000        0
 942.476756    4 13.41  -20 0.00000        0
1670.268333    1 13.48  -20 0.00000        0
1313.850208    5 13.44  -20 0.00000        0
1757.595504    6 13.45  -20 0.00000        0
 976.722210    0 13.33  -20 0.00000        0
1233.245083    5 13.44  -20 0.00000        0
1012.268897    0 13.39  -20 0.00000        0
1220.433023    0 13.44  -20 0.00000        0
1235.827629    4 13.42  -20 0.00000        0
1336.905654    3 13.51  -20 0.00000        0
1188.300422    6 13.46  -20 0.00000        0
1827.646920    7 13.51  -20 0.00000        0
1889.317006    4 13.60  -20 0.00000        0
1952.961563    7 13.44  -20 0.00000        0
1665.611591    7 13.46  -20 0.00000        0
1691.185551    0 13.54  -20 0.00000        0
1062.764747    5 13.53  -20 0.00000        0
1154.571857    7 13.43  -20 0.00000        0
1414.073985    6 13.43  -20 0.00000        0
 798.893491    7 13.51  -20 0.00000        0
1212.213199    5 13.45  -20 0.00000        0
1183.363595    5 19.52  -20 0.00000        0
1114.751617    6 13.01  -20 0.00000        0
2027.750593    0 13.20  -20 0.00000        0
1365.358965    0 13.16  -20 0.00000        0
 764.637721    0 13.16  -20 0.00000        0
2151.185629    7 12.83  -20 0.00000        0
2160.969401    7 12.87  -20 0.00000        0
1101.572554    1 13.30  -20 0.00000        0
1827.425650    6 13.17  -20 0.00000        0
1055.197229    6 13.38  -20 0.00000        0
1517.879580    3 13.50  -20 0.00750        1
 836.262749    1 13.58  -20 0.00000        0
1431.284639    6 13.47  -20 0.00000        0
1147.108452    1 13.45  -20 0.00000        0
1243.375107    4 13.45  -20 0.00000        0
1887.911007    4 13.58  -20 0.00000        0
1123.657188    4 13.56  -20 0.00000        0
1031.050495    4 12.96  -20 0.00000        0
 960.062892    7 13.40  -20 0.00000        0
1166.801453    0 13.52  -20 0.00000        0
 867.559897    1 13.58  -20 0.00000        0
1618.541746    4 13.60  -20 0.00000        0
1440.168391    2 13.50  -20 0.00000        0
1393.299538    6 13.54  -20 0.00000        0
1963.270287    2 13.54  -20 0.00000        0
1136.962538    0 13.40  -20 0.00000        0
 970.310903    1 13.12  -20 0.00000        0
 865.082353    7 13.33  -20 0.00000        0
1693.284411    1 13.60  -20 0.00000        0
1805.935219    7 13.67  -20 0.00000        0
1192.422726    5 13.54  -20 0.00000        0
1247.330095    0 13.61  -20 0.00000        0
 778.049497    7 13.69  -20 0.00000        0
 754.657700    5 13.60  -20 0.00000        0
1207.038738    7 13.15  -20 0.00000        0
1555.653727    0 13.46  -20 0.00000        0
1140.562262    1 13.70  -20 0.00000        0
1272.182971    5 13.69  -20 0.00000        0
1672.484825    4 13.68  -20 0.00000        0
1576.234534    0 13.63  -20 0.00000        0
1365.257105    0 13.67  -20 0.00000        0
1218.543575    2 13.54  -20 0.00000        0
1226.266550    2 13.32  -20 0.00000        0
1823.374376    2 13.60  -20 0.00000        0
 794.169751    3 13.65  -20 0.00000        0
1246.126037    0 13.70  -20 0.00000        0
 978.140126    7 13.66  -20 0.00000        0
 964.953829    6 13.72  -20 0.00000        0
1312.666665    5 13.68  -20 0.00000        0
1498.850625    6 13.72  -20 0.00000        0
 847.324394    6 13.63  -20 0.00000        0
1492.563768    0 13.19  -20 0.00000        0
