;Scopy version,f4beeb1
;Exported on,samedi octobre 12/10/2024
;Device,M2K
;Nr of samples,16937
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
312,0.312,0.0295605,-0.0732059
313,0.313,0.0295605,-0.0732059
314,0.314,0.0295605,-0.0732059
315,0.315,0.0295605,-0.0732059
316,0.316,0.0295605,-0.0732059
317,0.317,0.0295605,-0.0732059
318,0.318,0.0295605,-0.0732059
319,0.319,0.0295605,-0.0732059
320,0.32,0.0295605,-0.0732059
321,0.321,0.0295605,-0.0732059
322,0.322,0.0295605,-0.0732059
323,0.323,0.0295605,-0.0732059
324,0.324,0.0295605,-0.0732059
325,0.325,0.0295605,-0.0732059
326,0.326,0.0295605,-0.0732059
327,0.327,0.0295605,-0.0732059
328,0.328,0.0295605,-0.0732059
329,0.329,0.0295605,-0.0732059
330,0.33,0.0295605,-0.0732059
331,0.331,0.0295605,-0.0732059
332,0.332,0.0295605,-0.0732059
333,0.333,0.0295605,-0.0732059
334,0.334,0.0295605,-0.0732059
335,0.335,0.0295605,-0.0732059
336,0.336,0.0295605,-0.0732059
337,0.337,0.0295605,-0.0732059
338,0.338,0.0295605,-0.0732059
339,0.339,0.0295605,-0.0732059
340,0.34,0.0295605,-0.0732059
341,0.341,0.0295605,-0.0732059
342,0.342,0.0295605,-0.0732059
343,0.343,0.0295605,-0.0732059
344,0.344,0.0295605,-0.0732059
345,0.345,0.0295605,-0.0732059
346,0.346,0.0295605,-0.0732059
347,0.347,0.0295605,-0.0732059
348,0.348,0.0295605,-0.0732059
349,0.349,0.0295605,-0.0732059
350,0.35,0.0295605,-0.0732059
351,0.351,0.0295605,-0.0732059
352,0.352,0.0295605,-0.0732059
353,0.353,0.0295605,-0.0732059
354,0.354,0.0295605,-0.0732059
355,0.355,0.0295605,-0.0732059
356,0.356,0.0295605,-0.0732059
357,0.357,0.0295605,-0.0732059
358,0.358,0.0295605,-0.0732059
359,0.359,0.0295605,-0.0732059
360,0.36,0.0295605,-0.0732059
361,0.361,0.0295605,-0.0732059
362,0.362,0.0295605,-0.0732059
363,0.363,0.0295605,-0.0732059
364,0.364,0.0295605,-0.0732059
365,0.365,0.0295605,-0.0732059
366,0.366,0.0295605,-0.0732059
367,0.367,0.0295605,-0.0732059
368,0.368,0.0295605,-0.0732059
369,0.369,0.0295605,-0.0732059
370,0.37,0.0295605,-0.0732059
371,0.371,0.0295605,-0.0732059
372,0.372,0.0295605,-0.0732059
373,0.373,0.0295605,-0.0732059
374,0.374,0.0295605,-0.0732059
375,0.375,0.0295605,-0.0732059
376,0.376,0.0295605,-0.0732059
377,0.377,0.0295605,-0.0732059
378,0.378,0.0295605,-0.0732059
379,0.379,0.0295605,-0.0732059
380,0.38,0.0295605,-0.0732059
381,0.381,0.0295605,-0.0732059
382,0.382,0.0295605,-0.0732059
383,0.383,0.0295605,-0.0732059
384,0.384,0.0295605,-0.0732059
385,0.385,0.0295605,-0.0732059
386,0.386,0.0295605,-0.0732059
387,0.387,0.0295605,-0.0732059
388,0.388,0.0295605,-0.0732059
389,0.389,0.0295605,-0.0732059
390,0.39,0.0295605,-0.0732059
391,0.391,0.0295605,-0.0732059
392,0.392,0.0295605,-0.0732059
393,0.393,0.0295605,-0.0732059
394,0.394,0.0295605,-0.0732059
395,0.395,0.0295605,-0.0732059
396,0.396,0.0295605,-0.0732059
397,0.397,0.0295605,-0.0732059
398,0.398,0.0295605,-0.0732059
399,0.399,0.0295605,-0.0732059
400,0.4,0.0295605,-0.0732059
401,0.401,0.0295605,-0.0732059
402,0.402,0.0295605,-0.0732059
403,0.403,0.0295605,-0.0732059
404,0.404,0.0295605,-0.0732059
405,0.405,0.0295605,-0.0732059
406,0.406,0.0295605,-0.0732059
407,0.407,0.0295605,-0.0732059
408,0.408,0.0295605,-0.0732059
409,0.409,0.0295605,-0.0732059
410,0.41,0.0295605,-0.0732059
411,0.411,0.0295605,-0.0732059
412,0.412,0.0295605,-0.0732059
413,0.413,0.0295605,-0.0732059
414,0.414,0.0295605,-0.0732059
415,0.415,0.0295605,-0.0732059
416,0.416,0.0295605,-0.0732059
417,0.417,0.0295605,-0.0732059
418,0.418,0.0295605,-0.0732059
419,0.419,0.0295605,-0.0732059
420,0.42,0.0295605,-0.0732059
421,0.421,0.0295605,-0.0732059
422,0.422,0.0295605,-0.0732059
423,0.423,0.0295605,-0.0732059
424,0.424,0.0295605,-0.0732059
425,0.425,0.0295605,-0.0732059
426,0.426,0.0295605,-0.0732059
427,0.427,0.0295605,-0.0732059
428,0.428,0.0295605,-0.0732059
429,0.429,0.0295605,-0.0732059
430,0.43,0.0295605,-0.0732059
431,0.431,0.0295605,-0.0732059
432,0.432,0.0295605,-0.0732059
433,0.433,0.0295605,-0.0732059
434,0.434,0.0295605,-0.0732059
435,0.435,0.0295605,-0.0732059
436,0.436,0.0295605,-0.0732059
437,0.437,0.0295605,-0.0732059
438,0.438,0.0295605,-0.0732059
439,0.439,0.0295605,-0.0732059
440,0.44,0.0295605,-0.0732059
441,0.441,0.0295605,-0.0732059
442,0.442,0.0295605,-0.0732059
443,0.443,0.0295605,-0.0732059
444,0.444,0.0295605,-0.0732059
445,0.445,0.0295605,-0.0732059
446,0.446,0.0295605,-0.0732059
447,0.447,0.0295605,-0.0732059
448,0.448,0.0295605,-0.0732059
449,0.449,0.0295605,-0.0732059
450,0.45,0.0295605,-0.0732059
451,0.451,0.0295605,-0.0732059
452,0.452,0.0295605,-0.0732059
453,0.453,0.0295605,-0.0732059
454,0.454,0.0295605,-0.0732059
455,0.455,0.0295605,-0.0732059
456,0.456,0.0295605,-0.0732059
457,0.457,0.0295605,-0.0732059
458,0.458,0.0295605,-0.0732059
459,0.459,0.0295605,-0.0732059
460,0.46,0.0295605,-0.0732059
461,0.461,0.0295605,-0.0732059
462,0.462,0.0295605,-0.0732059
463,0.463,0.0295605,-0.0732059
464,0.464,0.0295605,-0.0732059
465,0.465,0.0295605,-0.0732059
466,0.466,0.0295605,-0.0732059
467,0.467,0.0295605,-0.0732059
468,0.468,0.0295605,-0.0732059
469,0.469,0.0295605,-0.0732059
470,0.47,0.0295605,-0.0732059
471,0.471,0.0295605,-0.0732059
472,0.472,0.0295605,-0.0732059
473,0.473,0.0295605,-0.0732059
474,0.474,0.0295605,-0.0732059
475,0.475,0.0295605,-0.0732059
476,0.476,0.0295605,-0.0732059
477,0.477,0.0295605,-0.0732059
478,0.478,0.0295605,-0.0732059
479,0.479,0.0295605,-0.0732059
480,0.48,0.0295605,-0.0732059
481,0.481,0.0295605,-0.0732059
482,0.482,0.0295605,-0.0732059
483,0.483,0.0295605,-0.0732059
484,0.484,0.0295605,-0.0732059
485,0.485,0.0295605,-0.0732059
486,0.486,0.0295605,-0.0732059
487,0.487,0.0295605,-0.0732059
488,0.488,0.0295605,-0.0732059
489,0.489,0.0295605,-0.0732059
490,0.49,0.0295605,-0.0732059
491,0.491,0.0295605,-0.0732059
492,0.492,0.0295605,-0.0732059
493,0.493,0.0295605,-0.0732059
494,0.494,0.0295605,-0.0732059
495,0.495,0.0295605,-0.0732059
496,0.496,0.0295605,-0.0732059
497,0.497,0.0295605,-0.0732059
498,0.498,0.0295605,-0.0732059
499,0.499,0.0295605,-0.0732059
500,0.5,0.0295605,-0.0732059
501,0.501,0.0295605,-0.0732059
502,0.502,0.0295605,-0.0732059
503,0.503,0.0295605,-0.0732059
504,0.504,0.0295605,-0.0732059
505,0.505,0.0295605,-0.0732059
506,0.506,0.0295605,-0.0732059
