;Scopy version,f4beeb1
;Exported on,mardi octobre 08/10/2024
;Device,M2K
;Nr of samples,16000
;Sample rate,1000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V)
332,-0.503,0.0173885
333,-0.502,0.0173885
334,-0.501,0.0173885
335,-0.5,0.0173885
336,-0.499,0.0173885
337,-0.498,0.0173885
338,-0.497,0.0173885
339,-0.496,0.0173885
340,-0.495,0.0173885
341,-0.494,0.0173885
342,-0.493,0.0173885
343,-0.492,0.0173885
344,-0.491,0.0173885
345,-0.49,0.0173885
346,-0.489,0.0173885
347,-0.488,0.0173885
348,-0.487,0.0173885
349,-0.486,0.0173885
350,-0.485,0.0173885
351,-0.484,0.0173885
352,-0.483,0.0173885
353,-0.482,0.0173885
354,-0.481,0.0173885
355,-0.48,0.0173885
356,-0.479,0.0173885
357,-0.478,0.0173885
358,-0.477,0.0173885
359,-0.476,0.0173885
360,-0.475,0.0173885
361,-0.474,0.0173885
362,-0.473,0.0173885
363,-0.472,0.0173885
364,-0.471,0.0173885
365,-0.47,0.0173885
366,-0.469,0.0173885
367,-0.468,0.0173885
368,-0.467,0.0173885
369,-0.466,0.0173885
370,-0.465,0.0173885
371,-0.464,0.0173885
372,-0.463,0.0173885
373,-0.462,0.0173885
374,-0.461,0.0173885
375,-0.46,0.0173885
376,-0.459,0.0173885
377,-0.458,0.0173885
378,-0.457,0.0173885
379,-0.456,0.0173885
380,-0.455,0.0173885
381,-0.454,0.0173885
382,-0.453,0.0173885
383,-0.452,0.0173885
384,-0.451,0.0173885
385,-0.45,0.0173885
386,-0.449,0.0173885
387,-0.448,0.0173885
388,-0.447,0.0173885
389,-0.446,0.0173885
390,-0.445,0.0173885
391,-0.444,0.0173885
392,-0.443,0.0173885
393,-0.442,0.0173885
394,-0.441,0.0173885
395,-0.44,0.0173885
396,-0.439,0.0173885
397,-0.438,0.0173885
398,-0.437,0.0173885
399,-0.436,0.0173885
400,-0.435,0.0173885
401,-0.434,0.0173885
402,-0.433,0.0173885
403,-0.432,0.0173885
404,-0.431,0.0173885
405,-0.43,0.0173885
406,-0.429,0.0173885
407,-0.428,0.0173885
408,-0.427,0.0173885
409,-0.426,0.0173885
410,-0.425,0.0173885
411,-0.424,0.0173885
412,-0.423,0.0173885
413,-0.422,0.0173885
414,-0.421,0.0173885
415,-0.42,0.0173885
416,-0.419,0.0173885
417,-0.418,0.0173885
418,-0.417,0.0173885
419,-0.416,0.0173885
420,-0.415,0.0173885
421,-0.414,0.0173885
422,-0.413,0.0173885
423,-0.412,0.0173885
424,-0.411,0.0173885
425,-0.41,0.0173885
426,-0.409,0.0173885
427,-0.408,0.0173885
428,-0.407,0.0173885
429,-0.406,0.0173885
430,-0.405,0.0173885
431,-0.404,0.0173885
432,-0.403,0.0173885
